"","route","count"
"745","110045->110040",17
"746","110045->110050",22
"747","110045->110060",29
"748","110045->110070",379
"749","110045->110080",7
"750","110045->110090",15
"751","110045->110092",4
"752","110045->110094",23
"753","110045->110100",76
"754","110045->110110",7
"755","110045->110120",55
"756","110045->110130",75
"757","110045->110140",240
"758","110045->110143",19
"759","110045->110145",2
"760","110045->110146",1
"761","110045->110147",1
"762","110045->110148",7
"763","110045->110149",18
"764","110045->110150",9
"765","110045->110155",14
"766","110045->110160",21
"767","110045->110170",75
"768","110045->110175",32
"769","110045->110180",43
"770","110050->110001",2
"771","110050->110002",1
"772","110050->110008",1
"773","110050->110014",3
"774","110050->110015",1
"775","110050->110020",2
"776","110050->110028",7
"777","110050->110034",1
"778","110050->110090",2
"779","110050->110092",2
"780","110060->110002",242
"781","110060->110011",52
"782","110060->110012",5
"783","110060->110015",14
"784","110060->110020",12
"785","110060->110040",2
"786","110060->110094",1
"787","110060->110100",12
"788","110060->110110",1
"789","110060->110140",116
"790","110060->110155",1
"791","110060->110160",1
"792","110060->110170",2
"793","110070->110001",1
"794","110070->110002",413
"795","110070->110003",1
"796","110070->110004",46
"797","110070->110005",1
"798","110070->110006",4
"799","110070->110007",2
"800","110070->110009",11
"801","110070->110010",2
"802","110070->110011",166
"803","110070->110012",140
"804","110070->110013",6
"805","110070->110015",55
"806","110070->110018",6
"807","110070->110020",50
"808","110070->110025",7
"809","110070->110026",1
"810","110070->110028",17
"811","110070->110029",2
"812","110070->110030",11
"813","110070->110032",1
"814","110070->110033",11
"815","110070->110034",1
"816","110070->110037",3
"817","110070->110040",4
"818","110070->110045",4507
"819","110070->110050",7
"820","110070->110060",7
"821","110070->110080",1
"822","110070->110090",2
"823","110070->110092",1
"824","110070->110094",8
"825","110070->110100",26
"826","110070->110120",1
"827","110070->110130",10
"828","110070->110140",324
"829","110070->110143",5
"830","110070->110148",1
"831","110070->110155",6
"832","110070->110160",1
"833","110070->110170",11
"834","110070->110175",10
"835","110070->110180",2
"836","110080->110001",35
"837","110080->110002",626
"838","110080->110003",11
"839","110080->110004",151
"840","110080->110005",49
"841","110080->110006",26
"842","110080->110007",1
"843","110080->110008",13
"844","110080->110009",18
"845","110080->110010",55
"846","110080->110011",240
"847","110080->110012",714
"848","110080->110013",29
"849","110080->110014",25
"850","110080->110015",205
"851","110080->110018",25
"852","110080->110020",15605
"853","110080->110025",106
"854","110080->110026",7
"855","110080->110028",168
"856","110080->110029",4
"857","110080->110030",141
"858","110080->110032",20
"859","110080->110033",22
"860","110080->110034",56
"861","110080->110037",5
"862","110080->110040",156
"863","110080->110045",68
"864","110080->110050",103
"865","110080->110060",30
"866","110080->110070",5
"867","110080->110090",1
"868","110080->110092",1
"869","110080->110094",41
"870","110080->110100",16
"871","110080->110110",639
"872","110080->110120",6
"873","110080->110130",96
"874","110080->110140",26
"875","110080->110143",71
"876","110080->110145",2
"877","110080->110146",2
"878","110080->110148",2
"879","110080->110149",9
"880","110080->110150",11
"881","110080->110155",87
"882","110080->110160",22
"883","110080->110170",70
"884","110080->110175",10
"885","110080->110180",22
"886","110090->110001",1
"887","110090->110002",1
"888","110090->110004",5
"889","110090->110008",1
"890","110090->110012",9
"891","110090->110014",2
"892","110090->110020",3
"893","110090->110025",20
"894","110090->110028",54
"895","110090->110029",1
"896","110090->110032",2
"897","110090->110034",1
"898","110090->110050",1
"899","110090->110094",1
"900","110090->110143",1
"901","110090->110149",1
"902","110092->110001",1
"903","110092->110003",4
"904","110092->110004",1
"905","110092->110005",4
"906","110092->110006",5
"907","110092->110007",1
"908","110092->110009",2
"909","110092->110012",2
"910","110092->110014",4
"911","110092->110018",13
"912","110092->110020",4
"913","110092->110028",9
"914","110092->110030",81
"915","110092->110145",3
"916","110092->110149",2
"917","110092->110175",1
"918","110094->110001",4
"919","110094->110002",2376
"920","110094->110004",62
"921","110094->110005",15
"922","110094->110006",11
"923","110094->110008",4
"924","110094->110009",8
"925","110094->110010",4
"926","110094->110011",148
"927","110094->110012",681
"928","110094->110013",332
"929","110094->110014",39
"930","110094->110015",160
"931","110094->110018",29
"932","110094->110020",82
"933","110094->110025",76
"934","110094->110026",314
"935","110094->110028",47
"936","110094->110029",2
"937","110094->110030",31
"938","110094->110032",13
"939","110094->110033",7
"940","110094->110034",37
"941","110094->110037",5
"942","110094->110040",489
"943","110094->110045",89
"944","110094->110050",10
"945","110094->110060",23
"946","110094->110070",22
"947","110094->110080",10
"948","110094->110090",1
"949","110094->110100",21
