"","route","count"
"799","110013->120017",1
"800","110013->120040",2
"801","110013->120050",1
"802","110013->130014",4
"803","110013->130090",2
"804","110013->130170",4
"805","110013->130270",10
"806","110013->130330",1
"807","110013->140010",1
"808","110013->150013",1
"809","110013->150060",1
"810","110013->150140",1
"811","110013->150503",1
"812","110013->150680",3
"813","110013->210530",1
"814","110013->270430",1
"815","110013->291800",3
"816","110013->292530",1
"817","110013->310110",1
"818","110013->310470",1
"819","110013->310620",34
"820","110013->311680",1
"821","110013->312770",1
"822","110013->313170",1
"823","110013->313380",2
"824","110013->313670",1
"825","110013->313940",1
"826","110013->314390",1
"827","110013->314400",12
"828","110013->314590",1
"829","110013->314620",3
"830","110013->316860",1
"831","110013->317020",3
"832","110013->320060",1
"833","110013->320080",9
"834","110013->320090",7
"835","110013->320100",2
"836","110013->320130",7
"837","110013->320150",1
"838","110013->320190",1
"839","110013->320210",3
"840","110013->320260",1
"841","110013->320270",8
"842","110013->320320",5
"843","110013->320330",2
"844","110013->320390",5
"845","110013->320405",1
"846","110013->320465",4
"847","110013->320490",13
"848","110013->320500",8
"849","110013->320515",1
"850","110013->320517",2
"851","110013->320520",6
"852","110013->320530",1
"853","110013->330010",1
"854","110013->350280",4
"855","110013->350600",2
"856","110013->350950",6
"857","110013->351110",1
"858","110013->352440",1
"859","110013->353060",1
"860","110013->353730",2
"861","110013->353760",1
"862","110013->354340",2
"863","110013->354850",1
"864","110013->354980",1
"865","110013->355030",7
"866","110013->355220",3
"867","110013->410040",1
"868","110013->410100",1
"869","110013->410170",1
"870","110013->410180",1
"871","110013->410370",1
"872","110013->410430",1
"873","110013->410480",11
"874","110013->410560",1
"875","110013->410690",11
"876","110013->410830",6
"877","110013->410880",4
"878","110013->411010",1
"879","110013->411250",2
"880","110013->411460",2
"881","110013->411560",1
"882","110013->411580",1
"883","110013->411720",1
"884","110013->411840",2
"885","110013->411850",2
"886","110013->412070",1
"887","110013->412100",1
"888","110013->412570",1
"889","110013->412800",2
"890","110013->412810",1
"891","110013->420290",1
"892","110013->420765",2
"893","110013->420910",1
"894","110013->421130",1
"895","110013->421830",1
"896","110013->430710",1
"897","110013->431020",1
"898","110013->500100",1
"899","110013->500270",2
"900","110013->500295",1
"901","110013->500315",1
"902","110013->500370",1
"903","110013->500380",1
"904","110013->500620",1
"905","110013->500635",1
"906","110013->500755",1
"907","110013->500793",1
"908","110013->500797",1
"909","110013->500830",1
"910","110013->510025",6
"911","110013->510125",2
"912","110013->510130",2
"913","110013->510140",4
"914","110013->510180",1
"915","110013->510190",1
"916","110013->510250",5
"917","110013->510263",4
"918","110013->510268",1
"919","110013->510320",1
"920","110013->510325",450
"921","110013->510330",9
"922","110013->510337",2
"923","110013->510340",42
"924","110013->510450",1
"925","110013->510455",2
"926","110013->510480",1
"927","110013->510500",1
"928","110013->510510",1
"929","110013->510515",6
"930","110013->510517",1
"931","110013->510590",1
"932","110013->510600",1
"933","110013->510630",1
"934","110013->510642",2
"935","110013->510650",1
"936","110013->510675",10
"937","110013->510704",1
"938","110013->510757",1
"939","110013->510760",2
"940","110013->510787",3
"941","110013->510790",3
"942","110013->510792",2
"943","110013->510795",1
"944","110013->510800",1
"945","110013->510850",1
"946","110013->520510",1
"947","110013->520870",1
"948","110013->521190",1
"949","110013->521630",1
"950","110013->530010",2
"951","110014->130090",2
"952","110014->150309",1
"953","110014->292110",2
"954","110014->320150",1
"955","110014->320330",1
"956","110014->320490",3
"957","110014->320530",2
"958","110014->510325",3
"959","110014->510562",1
"960","110015->120010",1
"961","110015->120040",1
"962","110015->130170",1
"963","110015->130270",2
"964","110015->140010",2
"965","110015->150130",1
"966","110015->150815",1
"967","110015->313720",1
"968","110015->317020",1
"969","110015->320316",1
"970","110015->320320",1
"971","110015->320405",1
"972","110015->320470",1
"973","110015->320490",7
"974","110015->320530",1
"975","110015->350950",1
"976","110015->354990",1
"977","110015->355030",2
"978","110015->355510",1
"979","110015->410480",1
